編號,歌手/團體名稱,類別標籤,別名/譯名,相關團體,合唱組合,歌庫已收錄曲數
311,Bryan Adams,Solo / Group,,,,0
312,哥哥妹妹 GoGo & MeMe,Solo / Group,,,,0
313,李幸倪+陳梓童,Solo / Group,,,,0
314,Wow,Solo / Group,,,,0
315,盧廣仲,Solo / Group,,,,0
316,獅子合唱團,Solo / Group,,,,0
317,Asiaboy 禁藥王+Lizi 栗子,Solo / Group,,,,0
318,AAA,Solo / Group,,,,0
319,大合唱,Solo / Group,,,,0
320,HITOE'S 57 MOVE,Solo / Group,,,,0
321,韋禮安,Solo / Group,,,,0
322,木瑪樂隊,Solo / Group,,,,0
323,大塚愛,Solo / Group,,,,0
324,閻奕格,Solo / Group,,,,0
325,孫楠,Solo / Group,,,,0
326,広瀬香美,Solo / Group,,,,0
327,R. KELLY,Solo / Group,,,,0
328,モーニング娘,Solo / Group,,,,0
329,熊天平,Solo / Group,,,,0
330,Aerosmith,Solo / Group,,,,0
331,F.CUZ+郭書瑤,Solo / Group,,,,0
332,Lady Gaga,Solo / Group,,,,0
333,王力宏,Solo / Group,,,,0
334,Devin,Solo / Group,,,,0
335,張韶涵,Solo / Group,,,,0
336,孫燕姿,Solo / Group,,,,0
337,小野麗莎,Solo / Group,,,,0
338,Machi,Solo / Group,,,,0
339,James Ingram,Solo / Group,,,,0
340,黃宥傑,Solo / Group,,,,0
341,張娜拉,Solo / Group,,,,0
342,Lady Gaga+Colby O'Donis,Solo / Group,,,,0
343,新寶島康樂隊,Solo / Group,,,,0
344,Popu Lady,Solo / Group,,,,0
345,徐婕兒,Solo / Group,,,,0
346,婁峻碩+Tyson Yoshi,Solo / Group,,,,0
347,No Name,Solo / Group,,,,0
348,汪佩蓉,Solo / Group,,,,0
349,陳忻玥,Solo / Group,,,,0
350,蔡健雅,Solo / Group,,,,0
351,陳珊妮,Solo / Group,,,,0
352,BOBBY HELMS,Solo / Group,,,,0
353,JON SECADA,Solo / Group,,,,0
354,Zard,Solo / Group,,,,0
355,Billy Joel,Solo / Group,,,,0
356,董事長樂團,Solo / Group,,,,0
357,Pink+Nate Ruess,Solo / Group,,,,0
358,Carpenters,Solo / Group,,,,0
359,Randy Vanwarmer,Solo / Group,,,,0
360,張震嶽,Solo / Group,,,,0
361,梁靜茹+曹格,Solo / Group,,,,0
362,CIRCUS,Solo / Group,,,,0
363,鼓鼓+蕭秉治,Solo / Group,,,,0
364,TOM JONES,Solo / Group,,,,0
365,Matzka,Solo / Group,,,,0
366,張信哲,Solo / Group,,,,0
367,Beach Boys,Solo / Group,,,,0
368,Sixpence None The Richer,Solo / Group,,,,0
369,明道,Solo / Group,,,,0
370,成語蕎,Solo / Group,,,,0
371,super7,Solo / Group,,,,0
372,朱俐靜,Solo / Group,,,,0
373,易天晴,Solo / Group,,,,0
374,蘇慧倫+任賢齊+羅百吉,Solo / Group,,,,0
375,One Direction,Solo / Group,,,,0
376,邱鋒澤,Solo / Group,,,,0
377,XMASwu,Solo / Group,,,,0
378,林曉培,Solo / Group,,,,0
